model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
knn,moons,0.4,10,9,21,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,21,0.822222222,0.4,0.422222222
knn,moons,0.4,100,9,21,0.744444444,0.8,-0.055555556
knn,moons,0.4,1000,9,21,0.873333333,0.83,0.043333333
knn,moons,0.4,10000,9,21,0.87,0.845,0.025
knn,moons,0.5,10,9,21,0.555555556,0,0.555555556
knn,moons,0.5,50,9,21,0.777777778,0.8,-0.022222222
knn,moons,0.5,100,9,21,0.833333333,0.9,-0.066666667
knn,moons,0.5,1000,9,21,0.835555556,0.84,-0.004444444
knn,moons,0.5,10000,9,21,0.828222222,0.833,-0.004777778
knn,circles,0,10,9,11,0.555555556,0,0.555555556
knn,circles,0,50,9,11,0.688888889,0.8,-0.111111111
knn,circles,0,100,9,11,0.688888889,0.7,-0.011111111
knn,circles,0,1000,9,11,1,1,0
knn,circles,0,10000,9,11,1,1,0
knn,circles,0.1,10,9,11,0.666666667,1,-0.333333333
knn,circles,0.1,50,9,11,0.688888889,0.6,0.088888889
knn,circles,0.1,100,9,11,0.777777778,0.6,0.177777778
knn,circles,0.1,1000,9,11,0.848888889,0.84,0.008888889
knn,circles,0.1,10000,9,11,0.853555556,0.828,0.025555556
knn,circles,0.2,10,9,11,0.666666667,0,0.666666667
knn,circles,0.2,50,9,11,0.755555556,0.4,0.355555556
knn,circles,0.2,100,9,11,0.644444444,0.6,0.044444444
knn,circles,0.2,1000,9,11,0.724444444,0.65,0.074444444
knn,circles,0.2,10000,9,11,0.723,0.623,0.1
knn,circles,0.3,10,9,11,0.666666667,0,0.666666667
knn,circles,0.3,50,9,11,0.644444444,0.2,0.444444444
knn,circles,0.3,100,9,11,0.633333333,0.6,0.033333333
knn,circles,0.3,1000,9,11,0.656666667,0.65,0.006666667
knn,circles,0.3,10000,9,11,0.674222222,0.581,0.093222222
knn,circles,0.4,10,9,11,0.555555556,0,0.555555556
knn,circles,0.4,50,9,11,0.711111111,0.6,0.111111111
knn,circles,0.4,100,9,11,0.611111111,0.7,-0.088888889
knn,circles,0.4,1000,9,11,0.657777778,0.57,0.087777778
knn,circles,0.4,10000,9,11,0.659444444,0.557,0.102444444
knn,circles,0.5,10,9,11,0.666666667,1,-0.333333333
knn,circles,0.5,50,9,11,0.644444444,0.4,0.244444444
knn,circles,0.5,100,9,11,0.688888889,0.3,0.388888889
knn,circles,0.5,1000,9,11,0.637777778,0.55,0.087777778
knn,circles,0.5,10000,9,11,0.640222222,0.548,0.092222222
knn,moons,0,10,9,11,0.555555556,0,0.555555556
knn,moons,0,50,9,11,0.955555556,1,-0.044444444
knn,moons,0,100,9,11,0.988888889,1,-0.011111111
knn,moons,0,1000,9,11,1,1,0
knn,moons,0,10000,9,11,1,1,0
knn,moons,0.1,10,9,11,0.555555556,1,-0.444444444
knn,moons,0.1,50,9,11,0.977777778,1,-0.022222222
knn,moons,0.1,100,9,11,1,0.9,0.1
knn,moons,0.1,1000,9,11,0.998888889,1,-0.001111111
knn,moons,0.1,10000,9,11,0.999111111,0.999,0.000111111
knn,moons,0.2,10,9,11,0.666666667,1,-0.333333333
knn,moons,0.2,50,9,11,0.933333333,1,-0.066666667
knn,moons,0.2,100,9,11,0.988888889,1,-0.011111111
knn,moons,0.2,1000,9,11,0.976666667,0.96,0.016666667
knn,moons,0.2,10000,9,11,0.970444444,0.969,0.001444444
knn,moons,0.3,10,9,11,0.666666667,0,0.666666667
knn,moons,0.3,50,9,11,0.888888889,1,-0.111111111
knn,moons,0.3,100,9,11,0.955555556,0.9,0.055555556
knn,moons,0.3,1000,9,11,0.906666667,0.91,-0.003333333
knn,moons,0.3,10000,9,11,0.914555556,0.91,0.004555556
knn,moons,0.4,10,9,11,0.666666667,1,-0.333333333
knn,moons,0.4,50,9,11,0.888888889,0.4,0.488888889
knn,moons,0.4,100,9,11,0.744444444,0.7,0.044444444
knn,moons,0.4,1000,9,11,0.867777778,0.86,0.007777778
knn,moons,0.4,10000,9,11,0.874777778,0.844,0.030777778
knn,moons,0.5,10,9,11,0.555555556,0,0.555555556
knn,moons,0.5,50,9,11,0.822222222,0.8,0.022222222
knn,moons,0.5,100,9,11,0.833333333,0.8,0.033333333
knn,moons,0.5,1000,9,11,0.851111111,0.81,0.041111111
knn,moons,0.5,10000,9,11,0.831222222,0.84,-0.008777778
knn,circles,0,10,9,5,0.666666667,1,-0.333333333
knn,circles,0,50,9,5,0.733333333,1,-0.266666667
knn,circles,0,100,9,5,0.9,0.8,0.1
knn,circles,0,1000,9,5,1,1,0
knn,circles,0,10000,9,5,1,1,0
knn,circles,0.1,10,9,5,0.444444444,1,-0.555555556
knn,circles,0.1,50,9,5,0.777777778,0.6,0.177777778
knn,circles,0.1,100,9,5,0.833333333,0.7,0.133333333
knn,circles,0.1,1000,9,5,0.875555556,0.83,0.045555556
knn,circles,0.1,10000,9,5,0.867555556,0.829,0.038555556
knn,circles,0.2,10,9,5,0.777777778,0,0.777777778
knn,circles,0.2,50,9,5,0.777777778,0.6,0.177777778
knn,circles,0.2,100,9,5,0.8,0.8,0
knn,circles,0.2,1000,9,5,0.764444444,0.6,0.164444444
knn,circles,0.2,10000,9,5,0.761777778,0.61,0.151777778
knn,circles,0.3,10,9,5,1,0,1
knn,circles,0.3,50,9,5,0.688888889,0.6,0.088888889
knn,circles,0.3,100,9,5,0.677777778,0.3,0.377777778
knn,circles,0.3,1000,9,5,0.722222222,0.6,0.122222222
knn,circles,0.3,10000,9,5,0.722666667,0.582,0.140666667
knn,circles,0.4,10,9,5,0.666666667,0,0.666666667
knn,circles,0.4,50,9,5,0.688888889,0.6,0.088888889
knn,circles,0.4,100,9,5,0.744444444,0.5,0.244444444
knn,circles,0.4,1000,9,5,0.71,0.57,0.14
knn,circles,0.4,10000,9,5,0.708777778,0.524,0.184777778
knn,circles,0.5,10,9,5,0.666666667,1,-0.333333333
