,model,ds_type,noise_levels,n_samples,k_folds,k,TRE,TESTE,E_DIFF
69,knn,circles,0.0,10,6,55,0.6666666666666666,1.0,-0.33333333333333337
70,knn,circles,0.0,10,7,1,1.0,0.0,1.0
71,knn,circles,0.0,10,7,3,0.8888888888888888,0.0,0.8888888888888888
72,knn,circles,0.0,10,7,5,0.8888888888888888,0.0,0.8888888888888888
73,knn,circles,0.0,10,7,11,0.6666666666666666,1.0,-0.33333333333333337
74,knn,circles,0.0,10,7,21,0.6666666666666666,1.0,-0.33333333333333337
75,knn,circles,0.0,10,7,31,0.6666666666666666,1.0,-0.33333333333333337
76,knn,circles,0.0,10,7,41,0.6666666666666666,1.0,-0.33333333333333337
77,knn,circles,0.0,10,7,51,0.6666666666666666,1.0,-0.33333333333333337
78,knn,circles,0.0,10,7,53,0.6666666666666666,1.0,-0.33333333333333337
79,knn,circles,0.0,10,7,55,0.6666666666666666,1.0,-0.33333333333333337
80,knn,circles,0.0,10,8,1,1.0,1.0,0.0
81,knn,circles,0.0,10,8,3,0.7777777777777778,1.0,-0.2222222222222222
82,knn,circles,0.0,10,8,5,0.6666666666666666,1.0,-0.33333333333333337
83,knn,circles,0.0,10,8,11,0.6666666666666666,1.0,-0.33333333333333337
84,knn,circles,0.0,10,8,21,0.6666666666666666,1.0,-0.33333333333333337
85,knn,circles,0.0,10,8,31,0.6666666666666666,1.0,-0.33333333333333337
86,knn,circles,0.0,10,8,41,0.6666666666666666,1.0,-0.33333333333333337
87,knn,circles,0.0,10,8,51,0.6666666666666666,1.0,-0.33333333333333337
88,knn,circles,0.0,10,8,53,0.6666666666666666,1.0,-0.33333333333333337
89,knn,circles,0.0,10,8,55,0.6666666666666666,1.0,-0.33333333333333337
90,knn,circles,0.0,10,9,1,1.0,1.0,0.0
91,knn,circles,0.0,10,9,3,0.7777777777777778,1.0,-0.2222222222222222
92,knn,circles,0.0,10,9,5,0.6666666666666666,1.0,-0.33333333333333337
93,knn,circles,0.0,10,9,11,0.6666666666666666,1.0,-0.33333333333333337
94,knn,circles,0.0,10,9,21,0.6666666666666666,1.0,-0.33333333333333337
95,knn,circles,0.0,10,9,31,0.6666666666666666,1.0,-0.33333333333333337
96,knn,circles,0.0,10,9,41,0.6666666666666666,1.0,-0.33333333333333337
97,knn,circles,0.0,10,9,51,0.6666666666666666,1.0,-0.33333333333333337
98,knn,circles,0.0,10,9,53,0.6666666666666666,1.0,-0.33333333333333337
99,knn,circles,0.0,10,9,55,0.6666666666666666,1.0,-0.33333333333333337
100,knn,circles,0.0,50,0,1,1.0,1.0,0.0
101,knn,circles,0.0,50,0,3,0.8888888888888888,0.8,0.0888888888888888
102,knn,circles,0.0,50,0,5,0.8444444444444444,0.8,0.0444444444444444
103,knn,circles,0.0,50,0,11,0.5555555555555556,0.0,0.5555555555555556
104,knn,circles,0.0,50,0,21,0.5555555555555556,0.6,-0.0444444444444444
105,knn,circles,0.0,50,0,31,0.5111111111111111,0.4,0.11111111111111105
106,knn,circles,0.0,50,0,41,0.5111111111111111,0.4,0.11111111111111105
107,knn,circles,0.0,50,0,51,0.6,0.6,0.0
108,knn,circles,0.0,50,0,53,0.6,0.6,0.0
109,knn,circles,0.0,50,0,55,0.6,0.6,0.0
110,knn,circles,0.0,50,1,1,1.0,0.6,0.4
111,knn,circles,0.0,50,1,3,0.9111111111111111,0.6,0.3111111111111111
112,knn,circles,0.0,50,1,5,0.7777777777777778,0.4,0.37777777777777777
113,knn,circles,0.0,50,1,11,0.7333333333333333,0.4,0.33333333333333326
114,knn,circles,0.0,50,1,21,0.6222222222222222,0.2,0.4222222222222222
115,knn,circles,0.0,50,1,31,0.5333333333333333,0.6,-0.06666666666666665
116,knn,circles,0.0,50,1,41,0.5555555555555556,0.0,0.5555555555555556
117,knn,circles,0.0,50,1,51,0.6222222222222222,0.6,0.022222222222222254
118,knn,circles,0.0,50,1,53,0.6222222222222222,0.6,0.022222222222222254
119,knn,circles,0.0,50,1,55,0.6222222222222222,0.6,0.022222222222222254
120,knn,circles,0.0,50,2,1,1.0,0.8,0.19999999999999996
121,knn,circles,0.0,50,2,3,0.8888888888888888,0.8,0.0888888888888888
122,knn,circles,0.0,50,2,5,0.8222222222222222,0.8,0.022222222222222143
123,knn,circles,0.0,50,2,11,0.6,0.4,0.19999999999999996
124,knn,circles,0.0,50,2,21,0.5555555555555556,0.0,0.5555555555555556
125,knn,circles,0.0,50,2,31,0.5333333333333333,0.2,0.3333333333333333
126,knn,circles,0.0,50,2,41,0.5333333333333333,0.2,0.3333333333333333
127,knn,circles,0.0,50,2,51,0.6888888888888889,0.2,0.4888888888888889
128,knn,circles,0.0,50,2,53,0.6888888888888889,0.2,0.4888888888888889
129,knn,circles,0.0,50,2,55,0.6888888888888889,0.2,0.4888888888888889
130,knn,circles,0.0,50,3,1,1.0,0.8,0.19999999999999996
131,knn,circles,0.0,50,3,3,0.9111111111111111,0.8,0.11111111111111105
132,knn,circles,0.0,50,3,5,0.8666666666666667,0.6,0.2666666666666667
133,knn,circles,0.0,50,3,11,0.6,0.2,0.39999999999999997
134,knn,circles,0.0,50,3,21,0.6222222222222222,0.4,0.2222222222222222
135,knn,circles,0.0,50,3,31,0.5111111111111111,0.2,0.31111111111111106
136,knn,circles,0.0,50,3,41,0.5333333333333333,0.2,0.3333333333333333
137,knn,circles,0.0,50,3,51,0.6444444444444445,0.2,0.4444444444444445
138,knn,circles,0.0,50,3,53,0.6444444444444445,0.2,0.4444444444444445
139,knn,circles,0.0,50,3,55,0.6444444444444445,0.2,0.4444444444444445
140,knn,circles,0.0,50,4,1,1.0,1.0,0.0
141,knn,circles,0.0,50,4,3,0.8888888888888888,1.0,-0.11111111111111116
142,knn,circles,0.0,50,4,5,0.8222222222222222,0.8,0.022222222222222143
143,knn,circles,0.0,50,4,11,0.6222222222222222,0.6,0.022222222222222254
144,knn,circles,0.0,50,4,21,0.5555555555555556,0.2,0.35555555555555557
145,knn,circles,0.0,50,4,31,0.5333333333333333,0.6,-0.06666666666666665
146,knn,circles,0.0,50,4,41,0.4888888888888889,0.8,-0.31111111111111117
147,knn,circles,0.0,50,4,51,0.5777777777777777,0.6,-0.022222222222222254
148,knn,circles,0.0,50,4,53,0.5777777777777777,0.6,-0.022222222222222254
149,knn,circles,0.0,50,4,55,0.5777777777777777,0.6,-0.022222222222222254
150,knn,circles,0.0,50,5,1,1.0,0.8,0.19999999999999996
151,knn,circles,0.0,50,5,3,0.9111111111111111,0.6,0.3111111111111111
152,knn,circles,0.0,50,5,5,0.8,0.4,0.4
153,knn,circles,0.0,50,5,11,0.6,0.6,0.0
154,knn,circles,0.0,50,5,21,0.5111111111111111,0.6,-0.0888888888888889
155,knn,circles,0.0,50,5,31,0.5777777777777777,0.6,-0.022222222222222254
156,knn,circles,0.0,50,5,41,0.4888888888888889,0.6,-0.1111111111111111
157,knn,circles,0.0,50,5,51,0.6,0.6,0.0
158,knn,circles,0.0,50,5,53,0.6,0.6,0.0
159,knn,circles,0.0,50,5,55,0.6,0.6,0.0
160,knn,circles,0.0,50,6,1,1.0,0.8,0.19999999999999996
161,knn,circles,0.0,50,6,3,0.8888888888888888,0.8,0.0888888888888888
162,knn,circles,0.0,50,6,5,0.8666666666666667,0.8,0.06666666666666665
163,knn,circles,0.0,50,6,11,0.5555555555555556,0.6,-0.0444444444444444
164,knn,circles,0.0,50,6,21,0.5555555555555556,0.0,0.5555555555555556
165,knn,circles,0.0,50,6,31,0.5333333333333333,0.4,0.1333333333333333
166,knn,circles,0.0,50,6,41,0.4888888888888889,0.6,-0.1111111111111111
167,knn,circles,0.0,50,6,51,0.6444444444444445,0.6,0.04444444444444451
168,knn,circles,0.0,50,6,53,0.6444444444444445,0.6,0.04444444444444451
169,knn,circles,0.0,50,6,55,0.6444444444444445,0.6,0.04444444444444451
170,knn,circles,0.0,50,7,1,1.0,0.8,0.19999999999999996
171,knn,circles,0.0,50,7,3,0.9333333333333333,0.4,0.5333333333333333
172,knn,circles,0.0,50,7,5,0.8,0.8,0.0
173,knn,circles,0.0,50,7,11,0.6,0.8,-0.20000000000000007
174,knn,circles,0.0,50,7,21,0.4888888888888889,0.4,0.08888888888888885
175,knn,circles,0.0,50,7,31,0.5111111111111111,0.4,0.11111111111111105
176,knn,circles,0.0,50,7,41,0.5111111111111111,0.4,0.11111111111111105
177,knn,circles,0.0,50,7,51,0.6444444444444445,0.6,0.04444444444444451
178,knn,circles,0.0,50,7,53,0.6444444444444445,0.6,0.04444444444444451
179,knn,circles,0.0,50,7,55,0.6444444444444445,0.6,0.04444444444444451
180,knn,circles,0.0,50,8,1,1.0,1.0,0.0
181,knn,circles,0.0,50,8,3,0.8888888888888888,1.0,-0.11111111111111116
182,knn,circles,0.0,50,8,5,0.8222222222222222,0.8,0.022222222222222143
183,knn,circles,0.0,50,8,11,0.5111111111111111,0.4,0.11111111111111105
184,knn,circles,0.0,50,8,21,0.6,0.4,0.19999999999999996
185,knn,circles,0.0,50,8,31,0.5111111111111111,0.4,0.11111111111111105
186,knn,circles,0.0,50,8,41,0.5111111111111111,0.4,0.11111111111111105
187,knn,circles,0.0,50,8,51,0.5111111111111111,0.8,-0.288888888888889
188,knn,circles,0.0,50,8,53,0.5111111111111111,0.8,-0.288888888888889
189,knn,circles,0.0,50,8,55,0.5111111111111111,0.8,-0.288888888888889
190,knn,circles,0.0,50,9,1,1.0,1.0,0.0
191,knn,circles,0.0,50,9,3,0.9111111111111111,0.8,0.11111111111111105
192,knn,circles,0.0,50,9,5,0.7777777777777778,0.4,0.37777777777777777
193,knn,circles,0.0,50,9,11,0.6,0.4,0.19999999999999996
194,knn,circles,0.0,50,9,21,0.5555555555555556,0.4,0.15555555555555556
195,knn,circles,0.0,50,9,31,0.5777777777777777,0.4,0.1777777777777777
196,knn,circles,0.0,50,9,41,0.5111111111111111,0.4,0.11111111111111105
197,knn,circles,0.0,50,9,51,0.6444444444444445,0.4,0.24444444444444446
198,knn,circles,0.0,50,9,53,0.6444444444444445,0.4,0.24444444444444446
199,knn,circles,0.0,50,9,55,0.6444444444444445,0.4,0.24444444444444446
200,knn,circles,0.0,100,0,1,1.0,1.0,0.0
201,knn,circles,0.0,100,0,3,1.0,0.9,0.09999999999999998
202,knn,circles,0.0,100,0,5,0.9333333333333333,0.8,0.1333333333333333
203,knn,circles,0.0,100,0,11,0.7666666666666667,0.8,-0.033333333333333326
204,knn,circles,0.0,100,0,21,0.5666666666666667,0.5,0.06666666666666665
205,knn,circles,0.0,100,0,31,0.6555555555555556,0.7,-0.0444444444444444
206,knn,circles,0.0,100,0,41,0.6,0.7,-0.09999999999999998
207,knn,circles,0.0,100,0,51,0.5777777777777777,0.5,0.07777777777777772
208,knn,circles,0.0,100,0,53,0.5777777777777777,0.7,-0.12222222222222223
209,knn,circles,0.0,100,0,55,0.5888888888888889,0.7,-0.11111111111111105
210,knn,circles,0.0,100,1,1,1.0,0.9,0.09999999999999998
211,knn,circles,0.0,100,1,3,0.9777777777777777,0.8,0.1777777777777777
212,knn,circles,0.0,100,1,5,0.9333333333333333,0.6,0.33333333333333337
213,knn,circles,0.0,100,1,11,0.8111111111111111,0.6,0.21111111111111114
214,knn,circles,0.0,100,1,21,0.5888888888888889,0.3,0.2888888888888889
215,knn,circles,0.0,100,1,31,0.6111111111111112,0.2,0.41111111111111115
216,knn,circles,0.0,100,1,41,0.5777777777777777,0.2,0.3777777777777777
217,knn,circles,0.0,100,1,51,0.5444444444444444,0.2,0.3444444444444444
218,knn,circles,0.0,100,1,53,0.5444444444444444,0.2,0.3444444444444444
219,knn,circles,0.0,100,1,55,0.5444444444444444,0.2,0.3444444444444444
220,knn,circles,0.0,100,2,1,1.0,1.0,0.0
221,knn,circles,0.0,100,2,3,0.9888888888888889,0.9,0.0888888888888889
222,knn,circles,0.0,100,2,5,0.9444444444444444,0.8,0.14444444444444438
223,knn,circles,0.0,100,2,11,0.7111111111111111,0.8,-0.0888888888888889
224,knn,circles,0.0,100,2,21,0.5777777777777777,0.5,0.07777777777777772
225,knn,circles,0.0,100,2,31,0.6222222222222222,0.4,0.2222222222222222
226,knn,circles,0.0,100,2,41,0.6111111111111112,0.6,0.011111111111111183
227,knn,circles,0.0,100,2,51,0.6111111111111112,0.4,0.21111111111111114
228,knn,circles,0.0,100,2,53,0.6333333333333333,0.5,0.1333333333333333
229,knn,circles,0.0,100,2,55,0.5444444444444444,0.7,-0.15555555555555556
230,knn,circles,0.0,100,3,1,1.0,1.0,0.0
231,knn,circles,0.0,100,3,3,0.9666666666666667,0.8,0.16666666666666663
232,knn,circles,0.0,100,3,5,0.9222222222222223,0.7,0.22222222222222232
233,knn,circles,0.0,100,3,11,0.7444444444444445,0.4,0.34444444444444444
234,knn,circles,0.0,100,3,21,0.6666666666666666,0.3,0.36666666666666664
235,knn,circles,0.0,100,3,31,0.6222222222222222,0.5,0.12222222222222223
236,knn,circles,0.0,100,3,41,0.6222222222222222,0.4,0.2222222222222222
237,knn,circles,0.0,100,3,51,0.5777777777777777,0.4,0.1777777777777777
238,knn,circles,0.0,100,3,53,0.5555555555555556,0.3,0.2555555555555556
239,knn,circles,0.0,100,3,55,0.5555555555555556,0.4,0.15555555555555556
240,knn,circles,0.0,100,4,1,1.0,1.0,0.0
241,knn,circles,0.0,100,4,3,0.9888888888888889,1.0,-0.011111111111111072
242,knn,circles,0.0,100,4,5,0.9333333333333333,1.0,-0.06666666666666665
243,knn,circles,0.0,100,4,11,0.7555555555555555,0.6,0.15555555555555556
244,knn,circles,0.0,100,4,21,0.5444444444444444,0.4,0.14444444444444438
245,knn,circles,0.0,100,4,31,0.6111111111111112,0.4,0.21111111111111114
246,knn,circles,0.0,100,4,41,0.6,0.6,0.0
247,knn,circles,0.0,100,4,51,0.5222222222222223,0.4,0.12222222222222223
248,knn,circles,0.0,100,4,53,0.5333333333333333,0.4,0.1333333333333333
249,knn,circles,0.0,100,4,55,0.5222222222222223,0.4,0.12222222222222223
250,knn,circles,0.0,100,5,1,1.0,1.0,0.0
251,knn,circles,0.0,100,5,3,0.9888888888888889,0.9,0.0888888888888889
252,knn,circles,0.0,100,5,5,0.9333333333333333,0.9,0.033333333333333326
